transaction_id,branch,date,product_id,quantity,price,customer_id
1,A,2023-01-01,101,2,50.0,C001
2,A,2023-01-02,102,1,20.0,C002
3,A,2023-01-03,103,3,15.0,C003
4,A,2023-01-04,101,2,50.0,C004
7,B,2023-01-01,101,1,50.0,C006
8,B,2023-01-02,106,2,40.0,C007
9,B,2023-01-03,107,3,25.0,C008
10,B,2023-01-04,108,1,30.0,C009
11,B,2023-01-05,109,2,35.0,C010
12,B,2023-01-06,107,3,25.0,C011
13,C,2023-01-01,110,1,60.0,C012
14,C,2023-01-03,112,1,70.0,C014
15,C,2023-01-04,113,2,50.0,C015
16,C,2023-01-05,114,3,30.0,C016
17,C,2023-01-06,115,2,80.0,C017
